"","x"
"1",-0.934999465942383
"2",-0.82499885559082
"3",-0.714998245239258
"4",-0.604999542236328
"5",-0.494998931884766
"6",-0.384998321533203
"7",-0.274997711181641
"8",-0.164999008178711
"9",-0.0549983978271484
"10",0.0550022125244141
"11",0.165000915527344
"12",0.275001525878906
"13",0.385002136230469
"14",0.495000839233398
"15",0.605001449584961
"16",0.715002059936523
"17",0.825000762939453
"18",0.935001373291016
"19",1.04500198364258
"20",1.15500068664551
"21",1.26500129699707
"22",1.37500190734863
"23",1.48500061035156
"24",1.59500122070312
"25",1.70500183105469
"26",1.81500053405762
"27",1.92500114440918
"28",2.03500175476074
"29",2.14500045776367
"30",2.25500106811523
"31",2.3650016784668
"32",2.47500228881836
"33",2.58500099182129
"34",2.69500160217285
"35",2.80500221252441
"36",2.91500091552734
"37",3.02500152587891
"38",3.13500213623047
"39",3.2450008392334
"40",3.35500144958496
"41",3.46500205993652
"42",3.57500076293945
"43",3.68500137329102
"44",3.79500198364258
"45",3.90500068664551
"46",4.01500129699707
"47",4.12500190734863
"48",4.23500061035156
"49",4.34500122070312
"50",4.45500183105469
"51",4.56500053405762
"52",4.67500114440918
"53",4.78500175476074
"54",4.89500045776367
"55",5.00500106811523
"56",5.1150016784668
"57",5.22500228881836
"58",5.33500099182129
"59",5.44500160217285
"60",5.55500221252441
"61",5.66500091552734
"62",5.77500152587891
"63",5.88500213623047
"64",5.9950008392334
"65",6.10500144958496
"66",6.21500205993652
"67",6.32500076293945
"68",6.43500137329102
"69",6.54500198364258
"70",6.65500068664551
"71",6.76500129699707
"72",6.87500190734863
"73",6.98500061035156
"74",7.09500122070312
"75",7.20500183105469
"76",7.31500053405762
"77",7.42500114440918
"78",7.53499984741211
"79",7.64500045776367
"80",7.75500106811523
"81",7.8650016784668
"82",7.97500228881836
"83",8.08500289916992
"84",8.19499969482422
"85",8.30500030517578
"86",8.41500091552734
"87",8.52500152587891
"88",8.63500213623047
"89",8.74500274658203
"90",8.85499954223633
"91",8.96500015258789
"92",9.07500076293945
"93",9.18500137329102
"94",9.29500198364258
"95",9.40500259399414
"96",9.5150032043457
"97",9.625
"98",9.73500061035156
"99",9.84500122070312
"100",9.95500183105469
"101",10.0650024414062
"102",10.1750030517578
"103",10.2849998474121
"104",10.3950004577637
"105",10.5050010681152
"106",10.6150016784668
"107",10.7250022888184
"108",10.8350028991699
"109",10.9449996948242
"110",11.0550003051758
"111",11.1650009155273
"112",11.2750015258789
"113",11.3850021362305
"114",11.495002746582
"115",11.6049995422363
"116",11.7150001525879
"117",11.8250007629395
"118",11.935001373291
"119",12.0450019836426
"120",12.1550025939941
"121",12.2650032043457
"122",12.375
"123",12.4850006103516
"124",12.5950012207031
"125",12.7050018310547
"126",12.8150024414062
"127",12.9250030517578
"128",13.0349998474121
