"","x"
"1",341.744995117188
"2",341.85498046875
"3",341.964996337891
"4",342.074981689453
"5",342.184997558594
"6",342.294982910156
"7",342.404998779297
"8",342.514984130859
"9",342.625
"10",342.734985351562
"11",342.845001220703
"12",342.954986572266
"13",343.065002441406
"14",343.174987792969
"15",343.285003662109
"16",343.394989013672
"17",343.505004882812
"18",343.614990234375
"19",343.725006103516
"20",343.834991455078
"21",343.945007324219
"22",344.054992675781
"23",344.165008544922
"24",344.274993896484
"25",344.384979248047
"26",344.494995117188
"27",344.60498046875
"28",344.714996337891
"29",344.824981689453
"30",344.934997558594
"31",345.044982910156
"32",345.154998779297
"33",345.264984130859
"34",345.375
"35",345.484985351562
"36",345.595001220703
"37",345.704986572266
"38",345.815002441406
"39",345.924987792969
"40",346.035003662109
"41",346.144989013672
"42",346.255004882812
"43",346.364990234375
"44",346.475006103516
"45",346.584991455078
"46",346.695007324219
"47",346.804992675781
"48",346.914978027344
"49",347.024993896484
"50",347.135009765625
"51",347.244995117188
"52",347.35498046875
"53",347.464996337891
"54",347.574981689453
"55",347.684997558594
"56",347.794982910156
"57",347.904998779297
"58",348.014984130859
"59",348.125
"60",348.234985351562
"61",348.345001220703
"62",348.454986572266
"63",348.565002441406
"64",348.674987792969
"65",348.785003662109
"66",348.894989013672
"67",349.005004882812
"68",349.114990234375
"69",349.225006103516
"70",349.334991455078
"71",349.445007324219
"72",349.554992675781
"73",349.664978027344
"74",349.774993896484
"75",349.885009765625
"76",349.994995117188
"77",350.10498046875
"78",350.214996337891
"79",350.324981689453
"80",350.434997558594
"81",350.544982910156
"82",350.654998779297
"83",350.764984130859
"84",350.875
"85",350.984985351562
"86",351.095001220703
"87",351.204986572266
"88",351.315002441406
"89",351.424987792969
"90",351.535003662109
"91",351.644989013672
"92",351.755004882812
"93",351.864990234375
"94",351.975006103516
"95",352.084991455078
"96",352.195007324219
"97",352.304992675781
"98",352.414978027344
"99",352.524993896484
"100",352.635009765625
"101",352.744995117188
"102",352.85498046875
"103",352.964996337891
"104",353.074981689453
"105",353.184997558594
"106",353.294982910156
"107",353.404998779297
"108",353.514984130859
